"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"6";"100K";"RESISTOR0603";"R0603";"R1, R2, R7, R8, R9, R10";"";"";
"1";"100nF";"CAPC0603";"C0603";"C11";"";"";
"4";"10K";"RESISTOR0603";"R0603";"R11, R12, R13, R14";"";"";
"8";"10uF";"CAP-POL-ALUMROQANG-RVT0405";"ROQANG-RVT0405";"C3, C4, C5, C6, C7, C8, C9, C10";"";"";
"1";"10uF";"CAPC0603";"C0603";"C2";"";"";
"1";"1uF";"CAPC0603";"C0603";"C1";"";"";
"4";"47K";"RESISTOR0603";"R0603";"R3, R4, R5, R6";"";"";
"1";"INPUT";"HEADER-1X06-2.54";"1X06-2.54";"X2";"";"";
"1";"MC33079DG";"OPAMP-MC33079DG";"SOIC-14";"U1";"";"";
"4";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"H1, H2, H3, H4";"";"";
"1";"OUTPUT";"HEADER-1X06-2.54";"1X06-2.54";"X3";"";"";
"2";"POT-PTD902";"POT-PTD902";"POT-PTD902";"VR1, VR2";"";"";
"1";"POWER";"HEADER-1X02-2.54POL";"1X02P-2.54";"X1";"";"";
